nm'	wfl'	nmqm	bj'	bad0	zh	ww0	adrg	adrs	wohng	wohns	badkach	fenster	kueche	mvdauer	bjkat	wflkat	rooms
700	36	19.444444	1965	0	1	0	0	0	0	0	0	0	0	4	3	1	2
670.86	59	11.370508	1957	0	0	0	0	0	0	0	0	1	0	5	3	2	1
380	40	9.5	1911	1	0	0	0	0	0	0	0	0	0	32	1	1	2
240.4	68	3.535294	1893	0	0	1	0	0	0	0	0	0	0	39	1	2	2
1030	56	18.392857	1971.5	0	1	0	0	0	0	0	1	0	0	1	4	2	2
452.7	32	14.146875	1971.5	0	1	0	0	0	0	0	0	0	1	13	4	1	1
900	55	16.363636	1971.5	0	1	0	0	0	0	0	0	0	1	0	4	2	2
925.4	45	20.564444	1956	0	1	0	0	0	0	0	0	0	0	1	3	1	2
928.68	54	17.197778	1980.5	0	1	0	0	0	0	0	1	0	0	13	5	2	2
1204.45	79	15.246203	1980.5	0	1	0	0	0	0	0	0	0	0	11	5	2	3
1004.45	50	20.089	1980.5	0	1	0	0	0	0	0	1	0	0	1	5	1	2
1300.23	75	17.3364	1956	0	1	0	0	0	0	0	1	0	1	7	3	2	3
820	73	11.232877	1955	0	0	0	0	1	0	1	1	0	0	5	3	2	3
554.56	43	12.896744	1962	0	1	0	0	0	0	0	1	0	0	5	3	1	2
664.08	50	13.2816	1962	0	1	0	0	0	0	0	1	0	0	3	3	1	2
721.21	52	13.869423	1959	0	1	0	0	0	0	0	1	0	0	0	3	2	2
239.28	45	5.317333	1933.5	0	0	0	0	0	0	0	1	0	0	4	2	1	2
489.71	39	12.556667	1957	0	1	0	0	0	1	0	1	0	0	9	3	1	2
421.6	40	10.54	1957	0	1	0	0	0	1	0	0	0	0	27	3	1	2
799.6	52	15.376923	1957	0	1	0	0	0	1	0	0	0	0	2	3	2	2
566.19	56	10.110536	1957	0	1	0	0	0	1	0	0	0	0	17	3	2	2
1092.39	84	13.004643	1976	0	1	0	0	0	0	0	1	0	0	12	4	3	4
449.91	35	12.854571	1980.5	0	1	0	0	0	0	0	1	0	0	3	5	1	1
982.05	65	15.108462	1963	0	1	0	0	0	1	0	0	1	0	0	3	2	2
679.55	69	9.848551	1957	0	1	0	0	0	1	0	0	0	0	20	3	2	3
720.25	95	7.581579	1933.5	0	1	0	0	0	1	0	0	0	0	40	2	3	4
610.11	59	10.340847	1941	0	1	0	0	0	1	0	0	0	0	2	2	2	3
776.56	68	11.42	1971.5	0	1	0	0	0	1	0	0	0	0	18	4	2	2
1720.85	100	17.2085	1971.5	0	1	0	0	0	1	0	0	0	1	0	4	3	3
799.98	68	11.764412	1971.5	0	1	0	0	0	1	0	1	0	0	20	4	2	2
658.4	55	11.970909	1939	0	0	0	0	0	1	0	0	0	1	1	2	2	2
1350	135	10	1933.5	0	1	0	0	0	1	0	0	0	0	7	2	3	5
483.82	23	21.035652	1959	0	1	0	0	0	0	0	1	0	0	1	3	1	1
765	62	12.33871	1971.5	0	1	0	0	0	1	0	1	0	0	15	4	2	2
337.74	35	9.649714	1957	0	0	1	0	0	1	0	0	0	0	6	3	1	1
375.74	35	10.735429	1957	0	0	1	0	0	1	0	0	0	0	1	3	1	1
347.94	45	7.732	1957	0	0	1	0	0	1	0	0	0	0	15	3	1	2
443.4	35	12.668571	1957	0	0	1	0	0	1	0	1	0	0	0	3	1	2
1348.5	106	12.721698	1893	0	1	0	0	0	0	0	1	0	0	5	1	3	3
918.27	125	7.34616	1893	0	0	0	0	0	0	0	0	0	0	11	1	3	4
569.52	36	15.82	1971.5	0	1	0	0	0	1	0	0	0	0	3	4	1	1
681.48	73	9.335342	1971.5	0	1	0	0	0	1	0	0	0	0	11	4	2	3
767.35	42	18.270238	1971.5	0	1	0	0	0	1	0	0	0	0	6	4	1	2
564.55	41	13.769512	1957	0	1	0	0	0	1	0	1	0	0	32	3	1	2
1408.91	74	19.039324	1971.5	0	1	0	0	0	0	0	0	0	0	2	4	2	4
1054.95	86	12.26686	1957	0	1	0	0	0	0	0	0	0	0	14	3	3	4
747.96	89	8.404045	1980.5	0	1	0	0	0	0	0	0	0	0	3	5	3	4
1015.63	90	11.284778	1980.5	0	1	0	0	0	0	0	0	0	0	12	5	3	4
584.19	44	13.277045	1971.5	0	1	0	0	0	0	0	0	0	0	1	4	1	2
506.65	37	13.693243	1971.5	0	1	0	0	0	0	0	0	0	0	2	4	1	1
447.63	77	5.813377	1970	0	1	0	0	0	0	0	0	0	0	2	4	2	3
385.51	77	5.006623	1970	0	1	0	0	0	0	0	1	0	0	3	4	2	3
719.96	83	8.674217	1971.5	0	1	0	0	0	0	0	0	0	0	3	4	3	4
665.06	70	9.500857	1957	0	1	0	0	0	0	0	0	1	0	0	3	2	3
705.6	50	14.112	1957	0	1	0	0	0	0	0	0	0	0	25	3	1	2
669.48	82	8.16439	1985	0	1	0	0	0	0	0	0	0	0	5	6	3	4
1386.36	60	23.106	1973	0	1	0	0	0	0	0	0	0	0	3	4	2	2
521.92	34	15.350588	1972	0	1	0	0	0	0	0	0	0	0	5	4	1	1
756.67	76	9.956184	1980.5	0	1	0	0	0	0	0	0	0	0	13	5	2	3
1061.85	77	13.79026	1980.5	0	1	0	0	0	0	0	0	0	0	13	5	2	3
724.24	77	9.405714	1979	0	1	0	0	0	0	0	0	0	0	1	5	2	3
865.48	83	10.42747	1979	0	1	0	0	0	0	0	0	0	0	7	5	3	3
541.34	49	11.047755	1980.5	0	1	0	0	0	0	0	1	0	0	14	5	1	2
744.07	84	8.857976	1971.5	0	1	0	0	0	0	0	1	0	0	9	4	3	3
635.12	95	6.685474	1981	0	1	0	0	0	0	0	0	0	0	1	5	3	4
571.28	61	9.365246	1957	0	1	0	0	0	0	1	1	0	0	35	3	2	3
406.65	57	7.134211	1893	1	0	1	0	0	0	0	0	0	0	41	1	2	2
340.21	68	5.003088	1893	0	0	1	0	0	0	0	0	1	0	21	1	2	3
921.67	86	10.717093	1893	0	1	0	0	0	0	0	1	0	0	4	1	3	3
1285.09	72	17.848472	1971.5	0	1	0	0	0	0	0	1	0	0	1	4	2	3
703.03	55	12.782364	1957	0	1	0	0	0	0	0	1	0	1	3	3	2	2
449.8	43	10.460465	1958	0	1	0	0	0	0	0	1	0	0	19	3	1	2
382.04	56	6.822143	1957	0	1	1	0	0	0	0	0	0	0	35	3	2	2
891.88	56	15.926429	1971.5	0	1	1	0	0	0	0	1	0	0	4	4	2	3
754.96	64	11.79625	1957	0	0	0	0	0	0	0	1	0	0	35	3	2	3
1410.71	106	13.308585	1933.5	0	1	0	0	0	0	0	1	0	0	6	2	3	4
228.74	37	6.182162	1957	0	0	1	0	0	0	0	0	0	0	12	3	1	1
563.5	51	11.04902	1893	0	1	0	0	0	0	0	0	0	0	23	1	2	3
1234.51	85	14.523647	1893	0	1	0	0	0	0	0	1	0	1	5	1	3	4
535	44	12.159091	1935	0	1	0	0	0	0	0	1	0	0	7	2	1	1
488.11	43	11.351395	1935	0	0	0	0	0	0	0	1	0	0	3	2	1	2
473.24	80	5.9155	1957	0	0	1	0	0	0	1	0	0	0	14	3	2	3
1094.82	56	19.550357	1893	0	1	0	0	0	0	0	1	0	0	3	1	2	2
644.4	35	18.411429	1850	0	1	0	0	0	0	0	0	0	0	5	1	1	1
581.33	25	23.2532	1957	0	1	0	0	0	0	0	0	0	0	0	3	1	1
699.6	80	8.745	1933.5	0	1	1	0	0	0	0	0	0	0	4	2	2	3
675	35	19.285714	1971.5	0	1	0	0	0	0	0	0	1	0	3	4	1	1
444.2	28	15.864286	1957	0	1	0	0	0	0	0	1	0	1	4	3	1	1
478.39	75	6.378533	1957	0	1	0	0	0	0	0	0	0	0	24	3	2	3
758.58	67	11.32209	1966	0	1	0	0	0	0	0	0	0	0	2	4	2	3
1039.07	61	17.033934	1987.5	0	1	0	0	0	0	0	1	0	0	1	6	2	2
1306.1	154	8.481169	1933.5	0	1	0	0	0	0	0	1	0	0	6	2	3	5
919.52	63	14.595556	1957	0	1	0	0	0	1	0	0	0	0	30	3	2	2
286.05	55	5.200909	1957	0	0	0	0	0	0	0	0	0	0	19	3	2	3
1215.81	46	26.430652	1991	0	1	0	0	0	0	0	1	0	1	2	6	1	2
796.48	42	18.96381	1893	0	0	0	0	0	0	1	1	1	0	3	1	1	2
1398.5	70	19.978571	1957	0	1	0	0	0	0	0	1	0	0	1	3	2	3
353.58	48	7.36625	1933.5	0	1	0	0	0	0	1	0	0	0	13	2	1	2
907	80	11.3375	1957	0	1	0	0	0	0	0	1	0	0	19	3	2	3
680	62	10.967742	1932	0	1	0	0	0	0	0	1	0	0	0	2	2	3
668.29	48	13.922708	1988	0	1	0	0	0	0	0	1	0	1	3	6	1	2
778.29	60	12.9715	1980.5	0	1	0	0	0	0	0	1	0	1	6	5	2	2
239.31	40	5.98275	1957	0	1	0	0	0	0	0	1	0	0	1	3	1	1
338.9	35	9.682857	1933.5	0	0	0	0	0	0	0	1	0	0	0	2	1	2
1521.74	102	14.91902	1980.5	0	1	0	0	0	0	0	1	0	0	13	5	3	4
461.71	40	11.54275	1920	0	1	0	0	0	0	0	1	0	0	3	2	1	2
987	68	14.514706	1957	0	1	0	0	0	1	0	1	0	0	3	3	2	2
1217.37	62	19.635	1971.5	0	1	0	0	0	1	0	1	0	0	3	4	2	2
426.84	67	6.370746	1971.5	0	1	0	0	0	1	0	1	0	1	0	4	2	2
629.3	62	10.15	1957	0	1	0	0	0	0	0	1	1	0	8	3	2	3
694.4	35	19.84	1992	1	1	0	0	0	0	0	0	0	0	0	6	1	1
984.53	57	17.272456	1992	0	1	0	0	0	0	0	1	0	0	0	6	2	2
1021.04	56	18.232857	1992	0	1	0	0	0	0	0	1	0	0	1	6	2	2
1685.52	103	16.364272	1985	0	1	0	0	0	1	0	1	0	1	4	6	3	3
1590.44	116	13.71069	1933.5	0	1	0	0	0	0	0	1	0	0	4	2	3	5
500	32	15.625	1971.5	0	1	0	0	0	1	0	1	0	0	0	4	1	1
775.2	72	10.766667	1971.5	0	1	0	0	0	1	0	1	0	0	27	4	2	3
516.35	47	10.98617	1957	0	1	0	0	0	1	0	1	0	0	1	3	1	1
1210.81	71	17.053662	1971.5	0	1	0	0	0	1	0	1	0	1	3	4	2	3
1347.35	48	28.069792	1985	0	1	0	0	0	0	0	1	0	0	7	6	1	2
1438.5	70	20.55	1987	0	1	0	0	0	1	0	1	0	0	0	6	2	2
454.65	62	7.333065	1933.5	0	1	0	0	0	0	0	1	0	0	2	2	2	2
1012	102	9.921569	1957	0	1	0	0	0	1	0	1	0	0	23	3	3	5
1261.48	250	5.04592	1912	0	1	1	0	0	1	0	1	0	0	23	1	3	5
534.2	100	5.342	1907	0	1	0	0	0	1	0	1	0	1	6	1	3	3
823.32	43	19.146977	1969	0	1	0	0	0	1	0	1	0	0	3	4	1	2
693.68	74	9.374054	1933.5	0	1	0	0	0	0	0	0	0	0	22	2	2	3
1302.81	82	15.887927	1933.5	0	1	0	0	0	0	0	0	0	0	2	2	3	3
575.21	58	9.917414	1933.5	0	0	0	0	0	0	0	0	0	0	25	2	2	3
1250	78	16.025641	1971.5	0	1	0	0	0	0	0	1	0	0	2	4	2	3
770	42	18.333333	1971.5	0	1	0	0	0	0	0	1	0	0	1	4	1	2
980	97	10.103093	1957	0	1	0	0	0	0	0	1	0	0	6	3	3	3
958	97	9.876289	1957	0	1	0	0	0	0	0	0	0	0	3	3	3	4
471.99	45	10.488667	1933.5	0	1	0	0	0	0	0	0	0	0	47	2	1	2
498.29	31	16.073871	1985	0	1	0	0	0	1	0	1	0	1	5	6	1	1
1228.49	65	18.899846	1980.5	0	1	0	0	0	1	0	1	0	1	1	5	2	2
1753.19	83	21.122771	1957	0	1	0	0	0	1	0	1	0	0	0	3	3	3
1025.54	84	12.20881	1933.5	0	1	0	0	0	1	0	1	0	1	2	2	3	4
950	62	15.322581	1971.5	0	1	0	0	0	1	0	1	0	0	7	4	2	2
1650	100	16.5	1971.5	0	1	0	0	0	1	0	1	0	1	1	4	3	3
682.13	38	17.950789	1979	0	1	0	0	0	0	1	1	0	0	1	5	1	1
297.4	54	5.507407	1957	0	1	0	0	0	0	1	1	0	0	14	3	2	2
508.15	97	5.23866	1957	0	1	0	0	0	0	1	1	0	0	24	3	3	4
1203.85	121	9.949174	1957	0	1	0	0	0	1	0	0	0	0	33	3	3	4
989.41	121	8.176942	1957	0	1	0	0	0	1	0	0	0	0	8	3	3	4
820.56	121	6.781488	1957	0	1	0	0	0	1	0	0	0	0	24	3	3	4
565	50	11.3	1933.5	0	1	0	0	0	0	1	1	0	0	1	2	1	2
691	62	11.145161	1933.5	0	1	0	0	0	0	1	1	0	0	38	2	2	3
651.44	62	10.507097	1971.5	0	0	1	0	0	1	0	0	1	0	6	4	2	3
356.74	84	4.246905	1893	1	0	0	0	0	1	0	0	0	0	23	1	3	3
340	22	15.454545	1980.5	0	1	0	0	0	1	0	1	0	0	1	5	1	1
555.08	38	14.607368	1980.5	0	1	0	0	0	1	0	1	0	0	0	5	1	1
643.21	87	7.393218	1957	0	1	0	0	0	1	0	1	0	0	22	3	3	4
638.6	90	7.095556	1957	0	1	0	0	0	1	0	1	0	0	21	3	3	4
982.46	69	14.238551	1971.5	0	1	0	0	0	0	0	1	0	0	7	4	2	3
904.66	69	13.111014	1971.5	0	1	0	0	0	0	0	1	0	0	6	4	2	2
545.7	70	7.795714	1957	0	1	0	0	0	0	0	1	0	0	21	3	2	3
1030	71	14.507042	1971.5	0	1	0	0	0	0	0	1	1	0	20	4	2	3
763.97	79	9.670506	1971.5	0	1	0	0	0	0	0	1	1	0	19	4	2	3
480.54	30	16.018	1934	0	1	0	0	0	1	0	0	0	0	1	2	1	1
652.96	69	9.463188	1957	0	1	0	0	0	0	0	0	0	0	21	3	2	3
602.26	59	10.207797	1957	0	1	0	0	0	0	0	0	0	0	10	3	2	3
388.8	28	13.885714	1957	0	1	0	0	0	0	0	0	0	0	1	3	1	1
454	43	10.55814	1957	0	1	0	0	0	0	0	0	0	0	8	3	1	1
1263.76	72	17.552222	1957	0	1	0	0	0	1	0	1	1	0	9	3	2	3
833.45	41	20.328049	1985	0	1	0	0	0	0	0	1	0	0	1	6	1	2
1008.96	69	14.622609	1971.5	0	1	0	0	0	1	0	1	0	0	9	4	2	2
1353.8	70	19.34	1985	0	1	0	0	0	0	0	1	0	1	7	6	2	3
487.62	70	6.966	1956	0	0	0	0	0	0	1	0	0	0	4	3	2	3
663.58	41	16.184878	1980.5	0	1	0	0	0	0	0	1	0	0	6	5	1	2
1016.37	55	18.479455	1971.5	0	1	0	0	0	0	0	1	0	0	2	4	2	2
448.43	65	6.898923	1933.5	0	0	0	0	0	0	1	1	0	0	19	2	2	3
1232	67	18.38806	1987.5	0	1	0	0	0	0	0	1	0	0	1	6	2	2
1025.88	43	23.857674	1985	0	1	0	0	0	0	0	1	0	0	7	6	1	2
1424.87	67	21.266716	1987.5	0	1	0	0	0	0	0	1	0	0	1	6	2	2
598.29	37	16.17	1970	0	1	0	0	0	0	0	1	0	0	1	4	1	1
629.75	40	15.74375	1980.5	0	0	0	0	0	0	1	1	0	0	1	5	1	2
887.41	64	13.865781	1971.5	0	1	0	0	0	0	0	1	0	0	6	4	2	3
1065.63	38	28.042895	1971.5	0	1	0	0	0	1	0	0	0	1	2	4	1	1
1130.83	85	13.303882	1971.5	0	1	0	0	0	1	0	1	0	0	19	4	3	4
1176.5	84	14.005952	1971.5	0	1	0	0	0	1	0	0	0	0	1	4	3	4
950	92	10.326087	1971.5	0	1	0	0	0	1	0	1	0	0	23	4	3	4
936.45	91	10.290659	1971.5	0	1	0	0	0	1	0	1	0	0	4	4	3	4
500.17	45	11.114889	1957	0	1	0	0	0	1	0	1	0	0	39	3	1	2
246.53	71	3.472254	1957	0	1	0	0	0	0	0	0	0	0	18	3	2	3
294.23	81	3.632469	1957	0	1	0	0	0	0	0	1	0	0	3	3	3	3
1301.99	80	16.274875	1962	0	1	0	0	0	1	0	1	0	0	0	3	2	4
515.18	45	11.448444	1971.5	0	0	0	0	0	0	0	1	0	1	9	4	1	2
540.8	72	7.511111	1971.5	0	1	0	0	0	0	0	1	0	0	4	4	2	3
382.12	64	5.970625	1957	0	0	1	0	0	0	0	0	0	0	6	3	2	3
636	61	10.42623	1957	0	1	0	0	0	0	0	1	0	0	9	3	2	2
536.48	84	6.386667	1910	0	0	1	0	0	0	0	0	1	0	1	1	3	2
1132.06	92	12.305	1893	0	0	1	0	0	0	0	0	0	0	3	1	3	4
814.13	54	15.076481	1985	0	1	0	0	0	0	0	1	0	1	7	6	2	2
633.92	39	16.254359	1970	0	1	0	0	0	0	0	0	0	0	3	4	1	1
494.92	80	6.1865	1933.5	0	0	1	0	0	0	0	1	0	0	3	2	2	3
908.46	86	10.563488	1893	0	0	0	0	0	0	1	1	0	0	61	1	3	3
936.9	74	12.660811	1880	0	1	0	0	0	0	0	1	0	0	1	1	2	3
346.18	68	5.090882	1880	0	0	0	0	0	0	0	1	1	0	20	1	2	3
430.31	47	9.155532	1893	0	0	0	0	0	0	0	0	0	0	21	1	1	2
1064.8	60	17.746667	1893	0	1	0	0	0	0	0	1	0	0	2	1	2	2
1432.6	99	14.470707	1893	0	1	0	0	0	0	0	1	0	0	7	1	3	4
549.63	32	17.175938	1968	0	1	0	0	0	0	0	1	0	0	2	4	1	1
940	73	12.876712	1968	0	1	0	0	0	0	0	0	0	0	35	4	2	3
989.2	46	21.504348	1971.5	0	1	0	0	0	0	0	1	0	0	4	4	1	2
758.37	29	26.15069	1987.5	0	1	0	0	0	0	0	1	0	0	4	6	1	1
993.46	67	14.827761	1989.5	0	1	0	0	0	0	0	1	0	1	4	6	2	2
1241.88	49	25.34449	1957	0	1	0	0	0	1	0	1	0	1	1	3	1	2
865.88	30	28.862667	1957	0	1	0	0	0	1	0	1	0	0	1	3	1	2
614.17	37	16.599189	1971.5	0	1	0	0	0	1	0	1	0	0	17	4	1	1
442.25	41	10.786585	1957	0	1	0	0	0	0	0	0	0	0	28	3	1	2
930	48	19.375	1957	0	1	0	0	0	0	1	1	0	0	0	3	1	2
896	109	8.220183	1893	0	1	0	0	0	1	0	0	1	0	49	1	3	3
945.88	46	20.562609	1953	0	1	0	0	0	1	0	0	0	1	2	3	1	3
1187.09	89	13.33809	1971.5	0	1	0	0	0	0	0	1	0	0	9	4	3	3
603	35	17.228571	1933.5	0	1	0	0	0	0	0	0	0	0	14	2	1	1
206.76	54	3.828889	1893	0	0	0	0	0	0	0	0	0	0	6	1	2	3
1036.58	72	14.396944	1971.5	0	1	0	0	0	0	0	1	0	0	5	4	2	3
1048.29	68	15.416029	1971.5	0	1	0	0	0	0	0	0	0	1	14	4	2	3
251.3	57	4.408772	1971.5	0	1	0	0	0	0	0	0	0	0	1	4	2	2
400.57	57	7.027544	1971.5	0	1	0	0	0	0	0	0	0	0	25	4	2	2
722.6	78	9.264103	1957	0	1	0	0	0	0	0	0	0	0	4	3	2	3
258.51	87	2.971379	1957	0	1	0	0	0	0	0	0	0	0	22	3	3	5
1436.66	92	15.61587	1971.5	0	1	0	0	0	0	0	1	0	0	0	4	3	4
765.29	53	14.439434	1971.5	0	1	0	0	0	0	0	0	0	0	5	4	2	2
762.84	56	13.622143	1933.5	0	1	0	0	0	0	0	0	0	0	8	2	2	2
675.38	101	6.686931	1908	0	1	0	0	0	0	0	0	1	0	20	1	3	5
746.3	68	10.975	1957	0	1	0	0	0	0	0	0	0	0	29	3	2	2
1150.98	88	13.079318	1899	0	0	0	0	0	0	0	0	1	0	13	1	3	3
846.64	58	14.597241	1899	0	0	0	0	0	0	0	0	1	0	17	1	2	2
606.31	54	11.227963	1966	0	0	0	0	0	0	0	0	0	0	2	4	2	2
916.32	45	20.362667	1980.5	0	1	0	0	0	1	0	0	0	0	13	5	1	2
680.95	96	7.093229	1893	0	0	0	0	0	0	1	0	0	0	7	1	3	3
792	65	12.184615	1957	0	1	0	0	0	0	0	1	0	0	6	3	2	3
559.02	40	13.9755	1957	0	1	0	0	0	0	0	0	0	0	6	3	1	1
906.58	64	14.165312	1957	0	1	0	0	0	0	0	1	0	0	6	3	2	3
927.15	86	10.780814	1971.5	0	1	0	0	0	0	0	1	0	0	4	4	3	4
358.64	35	10.246857	1957	0	0	0	0	0	0	0	1	0	0	8	3	1	1
1400	76	18.421053	1980.5	0	1	0	0	0	0	0	1	0	0	2	5	2	2
649.49	27	24.055185	1966	0	1	0	0	0	0	1	0	0	1	3	4	1	1
733.55	39	18.808974	1971.5	0	1	0	0	0	0	1	1	0	0	3	4	1	2
733.92	38	19.313684	1962	0	1	0	0	0	0	0	1	0	0	8	3	1	1
740.94	72	10.290833	1980.5	0	1	0	0	0	0	0	1	0	0	13	5	2	3
434.04	43	10.093953	1933.5	0	0	0	0	0	0	0	0	0	0	0	2	1	2
427.31	40	10.68275	1933.5	0	0	0	0	0	0	0	0	0	0	20	2	1	2
374.53	56	6.688036	1933.5	0	1	0	0	0	0	0	1	0	0	3	2	2	2
381.75	56	6.816964	1957	0	1	0	0	0	0	0	0	1	0	7	3	2	2
778.77	73	10.668082	1957	0	1	0	0	0	0	0	1	1	0	6	3	2	3
640	82	7.804878	1927	0	1	0	0	0	0	0	1	0	0	11	2	3	3
1000	73	13.69863	1927	0	1	0	0	0	0	0	1	0	0	1	2	2	2
570	79	7.21519	1933.5	0	1	0	0	0	0	0	0	0	0	21	2	2	4
459.63	48	9.575625	1957	0	0	0	0	0	0	0	0	0	0	4	3	1	2
509.98	47	10.850638	1933.5	0	0	0	0	0	0	0	1	0	0	3	2	1	2
632.88	69	9.172174	1957	0	1	0	0	0	0	0	1	0	0	37	3	2	3
2356.82	98	24.049184	1989.5	0	1	0	0	0	0	0	0	0	1	2	6	3	2
1985.57	87	22.822644	1989.5	0	1	0	0	0	0	0	0	0	1	1	6	3	3
443.32	54	8.20963	1893	0	0	0	0	0	0	0	0	0	0	34	1	2	2
373.19	57	6.547193	1893	0	0	0	0	0	0	0	0	0	0	64	1	2	2
759.89	105	7.237048	1893	0	0	0	0	0	0	0	0	0	0	39	1	3	4
367.8	90	4.086667	1893	0	0	0	0	0	0	0	0	0	0	82	1	3	3
942.27	143	6.589301	1893	0	0	0	0	0	0	0	1	0	0	18	1	3	4
1073.56	110	9.759636	1933.5	0	1	0	0	0	0	0	0	0	0	14	2	3	4
1308.27	110	11.893364	1933.5	0	1	0	0	0	0	0	1	0	0	3	2	3	4
678.65	65	10.440769	1957	0	1	0	0	0	0	0	1	0	0	29	3	2	3
717.58	51	14.070196	1933.5	0	1	0	0	0	0	0	1	0	0	60	2	2	2
548.28	92	5.959565	1933.5	0	1	0	0	0	0	0	1	0	0	21	2	3	4
351.76	69	5.097971	1938	0	0	0	0	0	0	0	1	0	0	15	2	2	2
2732.53	145	18.845034	1933.5	0	1	0	0	0	0	0	1	0	0	6	2	3	5
1664.31	108	15.410278	1959	0	1	0	0	0	1	0	1	0	1	10	3	3	4
132.11	84	1.572738	1893	0	0	0	0	0	0	0	0	0	0	24	1	3	3
762.3	90	8.47	1893	0	1	0	0	0	1	0	1	0	0	8	1	3	3
1033.98	100	10.3398	1933.5	0	1	0	0	0	1	0	1	0	0	19	2	3	4
357.47	43	8.313256	1933.5	1	0	0	0	0	1	0	0	0	0	25	2	1	1
375.14	37	10.138919	1957	0	1	0	0	0	1	0	1	0	0	29	3	1	1
445.87	45	9.908222	1957	0	1	0	0	0	1	0	0	0	0	11	3	1	1
520.22	54	9.633704	1957	0	1	0	0	0	1	0	0	0	0	35	3	2	2
280.63	52	5.396731	1957	0	1	0	0	0	1	0	1	0	0	6	3	2	2
851.32	84	10.134762	1957	0	1	0	0	0	1	0	1	0	0	17	3	3	3
1644.22	71	23.158028	1985	0	1	0	0	0	1	0	1	0	0	3	6	2	3
1036.23	140	7.401643	1893	0	1	1	0	0	1	0	1	0	0	8	1	3	4
242.06	76	3.185	1893	0	1	0	0	0	1	0	1	0	0	67	1	2	2
254.4	57	4.463158	1957	0	0	0	0	0	1	0	0	0	0	13	3	2	2
683.44	68	10.050588	1957	0	0	0	0	0	1	0	0	0	0	13	3	2	2
737.78	92	8.019348	1893	0	0	0	0	0	1	0	1	0	0	53	1	3	3
692.76	68	10.187647	1893	1	0	1	0	0	1	0	0	0	0	15	1	2	3
1300	69	18.84058	1893	0	1	0	0	0	1	0	1	0	1	2	1	2	2
1681.28	117	14.369915	1893	0	1	0	0	0	1	0	0	0	0	3	1	3	4
946.8	80	11.835	1893	0	0	1	0	0	1	0	0	0	0	7	1	2	3
1116.06	80	13.95075	1957	0	0	0	0	0	1	0	1	0	0	4	3	2	3
454.48	53	8.575094	1957	0	1	0	0	0	1	0	0	0	0	22	3	2	2
1254.64	72	17.425556	1893	0	1	0	0	0	1	0	0	0	1	0	1	2	2
2603.63	90	28.929222	1991	0	1	0	0	0	1	0	1	0	1	2	6	3	3
888.66	47	18.90766	1893	0	1	0	0	0	1	0	0	0	0	4	1	1	2
997.84	54	18.478519	1893	0	1	0	0	0	1	0	0	0	0	4	1	2	2
349.57	30	11.652333	1893	1	0	1	0	0	1	0	0	0	0	7	1	1	1
1156.73	130	8.897923	1893	0	1	0	0	0	1	0	1	0	0	22	1	3	4
540	70	7.714286	1893	0	1	0	0	0	1	0	1	0	0	10	1	2	3
